Counties,State,OATS 2017,SOYBEANS 2017,WHEAT 2017,CORN 2017,OATS 2012,SOYBEANS 2012,WHEAT 2012,CORN 2012,OATS 2007,SOYBEANS 2007,WHEAT 2007,CORN 2007,OATS 2002,SOYBEANS 2002,WHEAT 2002,CORN 2002,OATS 1997,SOYBEANS 1997,WHEAT 1997,CORN 1997
Waushara ,Wisconsin,14484,631295,46286,4294196,33896,540336,95420,3363380,23340,350455,86726,4185258,43038,578189,50754,3355790,88168,389039,36154,3147749
Wayne ,Iowa,9250,3076648,,6804325,29880,2017450,,3100256,39702,1993507,77906,6704027,82115,2111407,119830,6224691,68513,1892568,37588,4549551
Wayne ,Ohio,224288,2354327,564810,8329404,412186,2273748,451780,8037677,360633,2056280,733796,8941035,473714,1360022,741168,3216467,589999,1473822,480064,7132016
Webster ,Iowa,4640,9074539,,40115467,10347,6093940,,33221339,9192,7464249,,42141858,56555,8534296,,32347462,88045,8681554,,27013625
Webster ,Missouri,14179,45317,5662,302509,21278,24939,35501,25060,17676,18592,14137,278925,42237,,39469,46558,36503,2302,24993,20513
Barton ,Missouri,,4019606,2329728,8899177,3850,2123239,2564437,3404539,13815,2444131,1347325,5206390,28253,1567740,1752432,2693226,32540,2489538,2202076,1876317
Sauk ,Wisconsin,81334,1809438,322951,11623669,132423,1184161,301988,8055569,174387,1047263,292367,10488049,263549,1266674,98553,9377797,272536,812798,56958,8654565
Jasper ,Illinois,,5444558,308304,15363164,,3746061,349455,3055106,900,3521699,413971,14332472,7260,3996752,271512,9736637,8782,4396693,831952,10295023
Jefferson ,Illinois,,5648200,1326758,6318103,1150,1995453,1099308,1601402,,1714541,831980,5007163,,2547250,512362,3321406,1355,2584948,787007,3407853
Union ,Indiana,,1874272,21733,5597183,,1270811,29051,2894933,10008,1013753,49894,4436383,,1086537,61058,3320480,6295,1161628,149128,4546245
Union ,Ohio,,5922531,570105,10294012,5600,5140603,517482,9968538,7782,5478459,797720,8942566,14366,4425354,1022551,3538594,28979,3779958,1036310,6088900
Van Buren ,Michigan,,1346118,49592,6771823,3800,655591,54038,7603896,4180,1000857,45761,4950830,11629,1102055,37892,3411791,46872,848726,134957,3274855
Vanderburgh ,Indiana,,1908341,181757,5123666,,1032547,373188,2034920,,1062544,361180,4795009,,1461002,266767,2876503,,1098456,382285,3383887
Vermillion ,Indiana,,2791359,74920,8717077,,1313670,42868,3964917,1500,1938469,56936,11396299,,1804504,72500,5649189,4880,1583315,97053,5079915
Vigo ,Indiana,,2620623,42463,8223731,,1579833,75222,3308255,,1695841,148435,8300730,,1950847,92163,4990443,,1503385,181181,4343690
Vinton ,Ohio,,131142,,411155,1200,32860,,159010,,32625,,170324,,37463,10584,121657,,21773,2955,145826
Wabash ,Illinois,,2648626,174605,8043959,,1659214,313570,2215317,,1666221,531398,6937616,,1537576,254877,4491796,,2023286,575394,5247922
Wabash ,Indiana,,4403719,267283,13509973,,3714577,259480,8521522,5290,3501594,514622,11753757,1896,3921258,361385,6807698,19386,2845222,495706,9015085
Union ,Illinois,,2552722,275899,2617478,,1126542,130402,1175306,,956287,82783,2445532,825,1182931,77446,1215536,1760,863912,162472,973907
Warren ,Indiana,,4580535,221844,15336696,,2853533,136426,9316591,29518,3015446,115868,17541437,21940,3298047,58427,10791406,28983,3025487,195296,8289012
Warren ,Ohio,,1920295,92116,3352690,,1646431,145000,3236122,,1033357,147055,3063048,,1438036,160282,1789429,,1528711,291019,3622909
Warrick ,Indiana,,2237481,95084,6500770,,1425700,238470,2300804,,1258351,81313,5976338,,1077054,95215,2765593,,1272849,256682,3483532
Washington ,Indiana,,3656553,69201,7652978,660,1876201,79168,3902061,480,890556,126407,9618678,,942965,76464,2006425,3080,1036207,159543,2979817
Washington ,Missouri,,30491,,10052,,33730,,,,,,,,,,,,14695,,12860
Wayne ,Illinois,,7083781,835966,17965873,,3870967,1122819,5107981,,3229220,1079863,12368098,13674,3370010,503566,6833678,12400,4114079,939523,7714736
Wayne ,Indiana,,3047466,110536,9003326,2300,2093611,123318,4443959,1850,2024630,139987,7606906,6814,1858766,128345,4632939,47235,2373298,355945,6790247
Wayne ,Michigan,,114392,,117632,,125455,11261,253731,,138210,12918,362118,,185249,21959,250767,16202,323667,75098,639196
Wayne ,Missouri,,406386,,894357,,32020,15161,46200,,40388,8818,195714,,58867,15785,101117,,74706,33333,113139
Wells ,Indiana,,6087936,294196,16018124,,4968276,394579,10113196,6800,3921049,471485,10885709,18302,5053956,189409,7130100,18869,3858354,484661,10250417
Warren ,Missouri,,1866986,101102,3341368,,951123,163088,1047026,,746261,176024,2390645,,1053020,108486,1476053,,858813,374895,2050933
White ,Illinois,,7392947,665588,17377252,,4479063,1043362,8268859,,3618803,1490791,16831880,,3497712,757617,7150332,,3712175,1526602,9120918
Traverse ,Minnesota,,7748116,691239,25793048,,6589458,747424,24873843,,4210925,852922,16412779,,5630637,1870804,15876990,99750,4861926,3204831,9148633
Tippecanoe ,Indiana,,5237054,251462,17076699,9344,3744509,131769,11004957,1907,3831472,214883,16095574,6268,4581805,279782,13498221,19290,3945554,380858,11840265
Sainte Genevieve ,Missouri,,1023829,199666,1624583,,546842,207193,887880,,511277,151073,1862172,4800,727335,152954,1163470,1400,545996,301162,1244080
Saline ,Illinois,,2935750,143731,7391753,,1566484,181306,2176373,,1018241,123182,5302694,,1254420,22156,2316293,,1533422,316799,3654858
Saline ,Missouri,,8822739,174883,29525485,300,5499049,259861,11701586,4510,5803677,433265,21128710,20346,5514402,498497,14008630,31178,5495300,1349788,13530939
Sandusky ,Ohio,,4248088,487111,10479065,14089,4150919,528797,9144275,62626,3437331,991027,9776805,25554,3082894,1128979,6078207,39189,3600200,1360911,7811294
Sangamon ,Illinois,,14465142,160168,55447695,2857,6997367,73142,36678628,,6802357,100736,65164698,6396,8779132,39211,35565804,56133,8841385,179817,29866265
Schuyler ,Illinois,,3620318,61088,12429267,,1651928,94110,4677405,3445,1815626,293360,12224279,13307,2471573,211892,7918995,17775,2175947,433485,6526899
Scioto ,Ohio,,771537,25250,1285249,,472193,36560,745592,3276,599315,30212,853986,2220,455498,44192,781390,2369,544461,79763,1202424
Scott ,Illinois,,3412660,24110,11989623,3600,2108335,175293,7046235,,1431405,218655,10182729,4440,1784197,83206,5854961,,1897255,374873,6676113
Scott ,Indiana,,1064669,,3154440,,667474,,1857985,,523563,83396,3019651,,1020840,22358,1247192,,673395,72110,833370
Tipton ,Indiana,,4561493,92573,13097161,,3863775,81464,11036248,,3662330,173116,14861532,8960,3748970,72345,8984600,8390,3570293,223187,10127826
Scott ,Missouri,,4931943,1662675,10587246,,3385349,1989439,8849308,,2902183,1253378,13176388,,3408997,1649303,7829358,,3561291,2248168,8702586
Spencer ,Indiana,,3529312,175000,9423087,,2094917,194934,4328575,4684,1462057,114640,7749005,,1459442,206750,4165746,,1912910,619283,5087700
St Joseph ,Indiana,,2708898,104681,12258818,,2125620,186557,10668630,,2433424,199179,14172363,2355,2215861,91755,8774230,9657,1907969,203729,8869869
Stark ,Illinois,,4544008,22401,20084931,,3043514,22483,12501974,,2448956,65039,19838643,9397,3474113,18193,14434318,34921,3321181,22254,12972190
Starke ,Indiana,,2209608,11863,9882042,,1001055,9442,6096610,3728,1458156,67877,10988179,3893,1394499,34312,5823470,2105,969249,25943,7060694
Steuben ,Indiana,,1797114,239320,6419785,4480,1061764,268824,3105834,5114,1127203,144977,3943732,9370,886444,142283,2275384,31624,994620,227843,3752295
Stevens ,Minnesota,,5257845,598637,22352001,,4428469,663115,26930683,13976,4297667,1000402,21245419,25475,4903691,998565,17874792,27604,4684141,1684521,13461966
Sullivan ,Indiana,,3878956,135726,11083112,,2234884,134024,4737867,,2683551,204114,13673773,,2617666,181659,7100598,,2465500,424385,7200660
Sullivan ,Missouri,,1627574,56994,2219554,,780738,60302,810299,,779973,88573,1274897,10660,996948,49546,980619,12495,967167,63991,1164253
Switzerland ,Indiana,,486349,2647,1120354,,265662,9752,425742,,179699,,738082,,210400,16248,256724,935,168337,24381,398260
Shelby ,Illinois,,8439797,316269,28677138,12990,6435406,440345,12685216,10909,5774092,670734,33425709,12575,6302470,615125,18647711,14178,6033625,1278218,20278441
White ,Indiana,,5950328,144353,26391417,,3732544,144185,17286107,,4540574,194952,32626167,4256,5516450,100462,19718089,44421,4856632,245696,15867634
Whitley ,Indiana,,3840315,503873,10717392,6670,2604705,383278,5211455,,2495508,374561,7461367,10632,2691228,358029,5565202,22507,2234450,690469,6238266
Williamson ,Illinois,,1475642,110240,2917967,4049,708434,51600,642381,,651788,46286,2220688,,502967,,811056,,570302,81454,1067376
Contra Costa ,California,,,,,,,664281,271181,,,51942,201433,,,73786,400160,,,91692,339245
Lake ,California,,,,,,,231,,2565,,,,,,,,,,,
Oregon ,Missouri,,,,,,,6410,,,,2769,,,,,,,,4210,
Placer ,California,,,,,,,21850,,,,,,,,,,,,40592,
San Bernardino ,California,,,,,,,4668,,15625,,,,69003,,,,,,86791,
Tuolumne ,California,,,,,,,165,535,,,,,,,,,,,,
Crawford ,Michigan,,,,,,,,2710,,,,,900,,,2100,,,,1950
El Dorado ,California,,,,,,,,648,,,,,,,,,,,,
Gogebic ,Michigan,,,,,,,,4960,1327,,,,,,,,,,,
Pulaski ,Missouri,,,,,,16010,,40314,,18323,,40289,,15896,8527,52026,,11949,5730,68425
Napa ,California,,,,,,,,363,,,,450,,,,,,,,
Orange ,California,,,,,,,,10126,,,,,,,,,,,,
Santa Clara ,California,,,,,,,,150,,,,,,,,,,,9473,
Ventura ,California,,,,,,,,,32047,,,,,,,,,,,
Roscommon ,Michigan,,,,,,,,,,,495,,,,,,,,,
Cuyahoga ,Ohio,,,,,,,,,,,,854,,,,2000,,3798,,
Douglas ,Missouri,,,,,,,,,,,,29366,,,,,,,,
Ozark ,Missouri,,,,,,,,,,,,,2000,,3734,,,,,
Vilas ,Wisconsin,,,,,,,,,,,,,8791,,,,,,,
Los Angeles ,California,,,,,,,,,,,,,,,34432,,,,,
Nevada ,California,,,,,,,,272,,,,,,,,,,,,
Yuba ,California,,,,,1125,,94603,,,,,,,,123994,,,,54278,128703
Stone ,Missouri,,,,51113,,83460,,142496,,,,,,,,,,,,
Monterey ,California,,,,53716,,,69696,,19809,,,502,20978,,21699,,,,218446,
Wood ,Ohio,,5854092,1557379,13354264,23043,6259269,1508426,11869773,24427,5314055,2428945,13758280,33638,4515271,2847263,7303923,33807,5767698,3596376,12263029
Worth ,Missouri,,884067,,1977650,,555269,5816,798568,,581712,39006,1533831,21426,545531,15130,918485,17950,684273,11582,1119973
Wright ,Iowa,,7636399,,36978050,14546,5719781,,28861075,12256,5592034,,30627763,22895,7056329,,27376194,30342,6729771,,23329744
Wyandot ,Ohio,,5203885,639198,12046817,2232,4386389,593568,10272083,3990,4186573,1263744,10220120,8173,2136571,1308954,3354893,28942,3444128,1573119,8127545
Colusa ,California,,,529998,508002,,,1080820,1173253,,,1546749,1115415,31469,,1814825,560671,,,2973325,885418
Glenn ,California,,,253457,670494,78084,,382004,1570387,52686,,611514,3538728,16501,,477121,2549121,8714,,1344030,3170416
Howell ,Missouri,,,14522,,,,8176,10527,,290,1426,19050,,3882,15945,,,,12889,
Humboldt ,California,,,975,,,,,296,,,,,,,,,,,,
Lassen ,California,,,74272,,,,62109,,,,35747,,44599,,56949,,,,66592,
Marin ,California,,,411,,,,99,,,,,,,,,,,,,
Modoc ,California,,,766022,,,,981004,,,,445385,,79794,,317053,,64224,,292012,
Riverside ,California,,,934983,,,,288435,910,,,337879,,,,442762,81383,182489,,883471,337049
Sacramento ,California,,,225499,1905743,,,246193,2416394,12975,,676115,3948508,56331,,644957,4659274,,,644900,4447672
San Benito ,California,,,10721,,,,27744,216,16244,,,,15518,,,,,,33793,
Santa Barbara ,California,,,24900,,18580,,,,,,329966,,10491,,,1500,8272,,,
Shannon ,Missouri,,,3640,,,,,,,,,,,,,,,,,
Shasta ,California,,,10830,,,,21851,858,,,,,,,23787,,,,46951,
Solano ,California,,,657641,656996,,,1390326,1734533,,,1411064,1750522,18539,,1421227,1029653,53137,,1680242,3635751
Tehama ,California,,,64853,,21791,,136840,,10313,,89365,118987,14387,,175417,248794,53195,,327871,314217
Butte ,California,,,,289334,,,136176,107291,,,175201,164576,,,71957,9980,,,258926,152196
Camden ,Missouri,,,,115878,,4710,,,,,,42687,,7235,3513,24450,,3460,7605,
Saint Louis ,Missouri,,363176,16049,180258,,168192,86353,307654,,186858,69589,795179,,313136,46677,468513,,328314,190058,624462
Jasper ,Indiana,,4767368,112728,24324987,,3500272,65435,20666846,,4058307,131277,33761636,,4732820,66705,19201473,14142,4275532,89844,17565749
Saint Francois ,Missouri,,115422,49936,143309,,55339,15882,79736,,62612,49915,195289,,53764,14915,112711,,31904,29522,114938
Saint Charles ,Missouri,,2948383,217380,6006964,,1849436,234841,3522360,,2000617,308308,6193980,,2426754,244666,3867665,,2250533,852622,5340699
Madison ,Illinois,,7537152,1078291,20650361,4800,4190741,1392400,6776711,,3541489,1739234,16423393,,4898902,1002086,11275816,,3827054,2205466,10614295
Madison ,Indiana,,5325100,80100,14784808,,4661267,82853,11449235,,4380910,212274,15191187,,5716127,108982,11051126,10436,4636097,311438,12453171
Madison ,Missouri,,32100,,25000,,57065,,3472,,3192,,28000,,17338,2768,5930,,14820,3277,22810
Madison ,Ohio,,6639853,612999,15064738,,4864606,433549,12702388,3800,5527895,560902,15173323,33200,4295843,648681,8546170,64428,5452621,849287,13295374
Mahnomen ,Minnesota,,2808440,1565759,7520754,,2371683,975930,7894933,50020,1614106,1156906,3966390,51535,1373518,990910,981294,95496,1199423,2089120,634321
Maries ,Missouri,,199800,19677,266059,2560,81610,20040,76257,3404,52072,4730,137667,3905,102871,11120,64487,8734,40109,42626,118485
Marion ,Illinois,,4689728,749729,9506075,,2403880,951266,1662497,,2408498,1910923,10169244,,2528833,513293,5085953,5155,3036477,1277155,4647542
Marion ,Indiana,,355316,10752,943516,,230286,9661,492905,,228098,2286,741867,,310204,12332,806571,,371306,29322,1067865
Marion ,Missouri,,3987230,205695,10864823,,1812317,366814,4152991,4250,2487554,688665,8348689,5312,2205958,380631,5055740,8314,2135372,845572,4429822
Macoupin ,Illinois,,8950112,401205,30904543,,4884796,335930,18424188,,3804078,628249,32812612,4795,7281106,417402,24762290,1995,5565667,1114253,18288369
Marshall ,Indiana,,3687797,124591,14843330,2442,2841435,120255,9804882,7771,2431600,185531,11924677,11281,2889294,120320,10549399,38453,2390079,277360,10607917
Massac ,Illinois,,2570408,141302,3862216,,1105539,202634,1921543,,729255,21311,3662914,3600,1267333,97292,1818295,,1095834,142225,2235364
Mcdonald ,Missouri,,75711,45953,114438,,5171,69235,40213,,,,103886,,,,,,,,
Menard ,Illinois,,3656908,95175,14473366,3500,2267980,105172,7191201,,2618957,251807,16064630,1073,2839689,84553,9618930,12058,2820775,227970,9283833
Miami ,Indiana,,4333788,301539,11153635,1728,3492045,251621,7536276,600,3151658,327507,10594061,2960,3548254,193659,7672074,14032,3523797,328098,9652969
Miami ,Ohio,,4054794,260898,11287654,,3056352,312602,8113127,4025,3827819,506998,12197312,8810,2324011,388932,4837285,20658,3610141,658002,10134860
Miller ,Missouri,,243823,20490,245290,,94771,27052,70798,,120945,21072,216363,,92446,21098,154860,,100605,22511,234917
Mills ,Iowa,,4839937,3400,16108058,,2971838,1713,11136995,,3594963,10566,11447572,23011,3646368,13843,11020630,28997,3998446,19193,12046137
Milwaukee ,Wisconsin,,68036,23516,123247,,38271,17229,95501,2700,51020,29481,121920,10324,47768,9953,76228,,86167,21536,134643
Mississippi ,Missouri,,9171989,2771704,9394246,,5070171,2555114,8957086,,4752839,2206703,14856401,,6174645,2444206,7285755,,6554645,2474166,7499699
Martin ,Indiana,,801952,35622,2591346,,393474,96802,989625,,436810,57061,3062315,,448536,35644,1026097,,425343,101724,1292012
Monroe ,Illinois,,3256909,1701926,6820449,,3262953,1818374,4594551,,1884663,1365726,6528075,,2002626,1332025,3627708,,2295447,2155160,4070006
Macon ,Missouri,,3993854,341631,8287137,,1757280,312519,1006312,3540,2625861,316181,3821212,22440,2387774,353480,2078920,22382,2123828,367027,2346904
Lorain ,Ohio,,2482120,342407,2712751,22794,2593089,80587,3820349,20165,2039882,354830,3692187,9414,1943625,675856,1098796,40574,1852037,225156,1849954
Jefferson ,Indiana,,1688417,171215,2381329,2420,1321778,84622,1437178,,814012,62313,2693702,293,1042585,80065,779157,3110,999694,124920,1011240
Jefferson ,Missouri,,195535,28628,363258,,170636,54118,187924,,161312,32574,445497,670,241214,63477,282319,6356,225684,98952,327150
Jennings ,Indiana,,2733931,151751,4630094,,1673245,81148,3310933,,1604298,54325,6066403,,2172293,52938,3927860,,1420128,95368,3374323
Jersey ,Illinois,,3487281,44580,12444299,,1877506,131849,5667505,,1944475,281814,13716963,,2516943,199168,6840495,,1880184,558281,6549150
Johnson ,Illinois,,960507,,712078,,345546,34190,290329,,441230,48650,913262,,441484,60820,361448,,393725,53985,612921
Johnson ,Indiana,,3178126,227277,9530387,,1996155,202799,4207535,,2059025,165407,9538332,300,1989146,115510,5907607,5910,2084115,267947,7187064
Kendall ,Illinois,,3121553,35193,13779997,8684,1898584,15878,7416666,,2119429,162451,17991651,27764,2671927,63347,9249545,37772,2770798,72970,9581057
Knox ,Indiana,,7541035,884032,23703717,,4315945,897502,12512430,5960,4984356,1519957,26803053,,4502671,807680,11541183,,4206841,1919179,12106667
Knox ,Missouri,,2753625,206571,6859362,7370,1798039,260889,1521616,9100,2485301,300785,5105753,19347,1777228,222966,2350166,28701,2240845,361061,3133200
Lucas ,Ohio,,1297774,329608,4189873,,1527125,277956,3088470,,1079591,319901,4164744,2497,1110362,438259,2824630,3254,1369655,587789,3531643
Laclede ,Missouri,,49054,14828,288051,,112911,17908,252726,,18893,6608,422920,4700,,15368,30215,,,24296,32430
Lake ,Indiana,,2387713,36221,9241886,,2237170,108422,9511847,,2058103,106724,10759524,6430,1885766,91749,6044901,19450,2324900,170494,9080374
Lake ,Michigan,,24579,14260,111633,6040,15494,13612,223861,6625,,,54655,5864,,,43104,4770,,,23800
Lake ,Ohio,,25034,1900,,2040,18153,2564,28340,4307,16348,,27910,3044,4220,2874,21869,5885,24110,15127,
Lawrence ,Illinois,,5274923,363636,15911958,,2765945,692055,4551239,,2822741,1167462,11525867,2148,2885189,366454,7239204,,2360571,821433,6625459
Lawrence ,Indiana,,1664910,,3212862,,673524,19039,969019,860,539133,45525,1923959,2224,571291,57012,914819,7500,718822,112316,1735845
Lawrence ,Ohio,,40804,,144357,2766,40163,2290,67421,,25153,5250,90834,,28283,,112400,,8900,5790,106170
Lincoln ,Missouri,,3200257,461341,5945026,,1786133,602692,1857398,,1550486,797440,4953878,,2297911,431544,3008967,,1834088,1017044,4231573
Livingston ,Michigan,,955776,288910,2516325,9350,698020,403300,2163494,58810,527229,366686,2146959,21338,677896,287627,1987023,17034,526156,303253,2478731
Logan ,Illinois,,9944162,51538,38009598,44715,5388071,67699,21142566,13770,5036585,74353,36518094,33859,7805102,56183,25882432,50300,7232046,146354,24897996
Lafayette ,Missouri,,6107945,185271,20708206,,3835088,282777,7304876,,4433001,298765,14669821,11705,4235462,378911,10492519,17148,4485104,1058472,9924831
Monroe ,Indiana,,237698,4890,741260,,255358,2038,554498,,171770,5681,1078923,,181475,9730,258467,,202338,20511,586936
Monroe ,Michigan,,4716393,1354096,10995175,16082,2936735,1284664,7831986,55140,2968774,1486737,11803432,101686,3181990,1272746,6753053,76969,3770565,1698522,8142927
Montgomery ,Illinois,,10508197,571919,35753317,7880,6060862,648269,13989272,,4307063,773705,25877745,1360,6451799,441027,18839734,8540,5515022,1343193,18305953
Pocahontas ,Iowa,,7770855,,31195537,50490,6072013,,28486444,41115,6975948,,30228523,44076,7450254,,26974337,69628,7852016,,24208866
Polk ,Iowa,,4046047,,16376082,9120,3247978,,13729963,10830,4085311,,22276602,25076,3963051,,15404233,28390,4202567,,14143061
Polk ,Missouri,,312344,80055,525713,1358,104651,160530,74522,1670,43544,11266,89262,5858,31526,39542,83747,5280,57337,73580,153513
Pope ,Illinois,,414292,,765482,1664,388915,50051,571727,,163784,,830823,,367717,20960,295803,,257409,23244,320164
Porter ,Indiana,,2714175,77390,9566406,5760,2345641,104635,9379981,2325,1877033,138786,8266420,18741,2051172,104180,6339431,29069,2063641,243409,8290801
Posey ,Indiana,,4734926,1505926,15745368,,3579504,2136896,8716484,,2349387,1744695,16134048,,2914244,1492135,8765606,,3206196,1965041,8753449
Preble ,Ohio,,5089732,252077,13047190,1380,3423685,347884,8111623,,3321045,294038,11608923,3495,2667266,295127,5556563,13542,3158079,575449,9224300
Pulaski ,Illinois,,2490288,404078,3442484,,1014286,307197,1683040,,1220736,387976,4717487,,1331199,160224,1505745,,1154913,313197,1704960
Pulaski ,Indiana,,3925052,52384,18405134,,2589624,42406,11511438,,3103055,79414,17279330,2795,3424601,35861,11407632,18918,3460359,139249,13328273
Platte ,Missouri,,2903954,34233,7121151,,1318940,41628,2355240,,2177671,110062,5569874,,1786447,90962,3583581,2080,2199327,294938,3568089
Putnam ,Illinois,,1075896,24158,4766641,,729305,35447,4092093,700,653102,16294,6242650,5455,1268289,9376,4467121,10072,1287098,50700,4573181
Putnam ,Missouri,,1249324,11460,2298693,4050,709853,4810,621460,13051,867024,57579,1792647,26915,645971,37006,991764,6030,591977,22234,1278443
Putnam ,Ohio,,7698686,2104777,13890779,5755,6923051,1960194,9767662,36437,5822315,1938181,10732392,13510,4965851,2616225,5623225,26598,5402122,2796075,10275702
Randolph ,Illinois,,4785045,2466031,7885541,,3924907,2552780,3541938,,3047121,1687326,7913500,1694,2718252,1466483,3615877,,2917797,2168714,4397712
Randolph ,Indiana,,5758216,279302,16614567,3259,4731511,374234,8892932,9075,4451437,301803,12338521,9240,4682313,222442,8471164,50471,3928719,532339,8677718
Ray ,Missouri,,3613413,227074,8107029,,2117380,96602,3209665,,2270646,292977,4697450,3330,2551511,288204,3313328,2064,2566251,715275,3426253
Ripley ,Indiana,,3650022,109096,6679601,,2295382,131674,5434679,,1396408,116333,6384951,895,2384832,61193,2651178,6960,1607913,221437,4637513
Ripley ,Missouri,,323113,,404544,,314681,41938,313406,,243182,30894,541454,,330031,37113,155464,4100,404278,65287,233479
Ross ,Ohio,,3264981,619940,8312395,6693,2134482,424721,5089268,6639,2025742,524540,6500602,13348,2131572,797620,5480435,23636,2536853,1038586,7542308
Rush ,Indiana,,4988795,463413,17206434,,3319329,258172,7536607,1220,3309965,220595,14238648,1900,3868520,195210,10281020,14525,4298419,485845,12415712
Putnam ,Indiana,,3397636,69579,10687870,,2023891,275981,4462171,,2542629,135515,9753763,,2938508,141960,8572034,14073,2501298,277796,7039151
Pike ,Ohio,,998947,63750,2515129,1625,621960,45817,1507750,1846,285647,38579,1009708,1600,302943,27347,648585,5239,252781,40121,617134
Pike ,Missouri,,4106452,557484,10576402,14735,2144683,473908,3244651,8365,2106522,858107,8620221,42494,3090192,561097,4884895,24579,2552317,971422,5763130
Pike ,Indiana,,1607512,89706,3378208,,952631,147657,1863576,,970511,96717,4124582,,817523,60188,2153656,,945547,226889,2557521
Montgomery ,Indiana,,7691334,197853,21923503,,4118695,103273,13517648,5305,5625850,153368,24696306,5610,6014938,164880,17093718,12968,4390265,322563,12476174
Montgomery ,Iowa,,5002156,,17435385,3100,3481166,,12377347,,3426168,,11335500,28788,3688515,,11779449,40532,3577770,,10775887
Morgan ,Illinois,,6854183,60510,25935859,1360,4491003,113163,16872137,,4993886,378330,28565387,2682,5659383,131365,18056732,6452,5195217,451726,16397493
Morgan ,Indiana,,2920152,140021,7475714,,1610301,72933,3228200,,1590312,60418,6850879,,1406433,45042,4249986,,1778032,177747,6181703
New Madrid ,Missouri,,12238863,1634596,11193433,,5110757,1091854,9808820,,4186077,1069374,15165562,,5053741,1617022,10042662,,5268324,1748462,9418061
Newton ,Indiana,,3815758,125234,16207081,,2697017,157559,13636738,,2927788,96862,17912060,1879,3479086,84427,12888264,12856,3336449,85318,13688532
Oakland ,Michigan,,94804,45883,335564,,106614,69595,473807,,80402,57691,209260,13373,102196,63306,290548,9690,148541,121101,678699
Ohio ,Indiana,,188057,,287856,,94345,10984,164161,,43285,,291152,,106838,,119827,,83524,,201983
Osage ,Missouri,,730574,39019,1726762,,338951,52340,837041,,349167,22498,982520,2805,415639,40047,861190,8480,313705,74486,896968
Oscoda ,Michigan,,3340,,62109,,,,53306,7146,,2388,21600,5255,,,22608,3073,,,29045
Ottawa ,Ohio,,3290069,560316,3200350,26630,3108098,242292,3723430,57952,2834449,364582,4686115,3485,1977524,563937,1390298,15402,2118283,883674,2029340
Owen ,Indiana,,1377910,99918,3616309,,606059,80609,1286649,5760,591772,78383,2702783,,881430,76299,1687883,5485,652240,103123,2290955
Parke ,Indiana,,3578794,123261,10965836,2030,1581362,95993,4000534,1170,2594699,127485,10023609,,2355844,139434,5971706,2660,2214264,425362,7334592
Pemiscot ,Missouri,,9000620,1628223,3789917,,5118416,900806,4448064,,3724662,822148,6199143,,3694251,1308904,2564173,,5636247,1343032,2561693
Perry ,Illinois,,3747509,1829029,5236049,,1767101,1243777,1017096,,1925841,1091631,5158547,,1988874,718300,2521800,2373,2050613,949509,3217012
Perry ,Indiana,,1012878,22897,1495277,,302262,28296,657665,,363632,14319,1531084,,230128,19245,514938,1900,250636,27482,701454
Perry ,Ohio,,887094,60671,2987400,33848,841376,47190,2564315,4020,623322,66371,3103168,14907,417304,100013,1475590,37936,391940,108831,2212729
Phelps ,Missouri,,9120,9320,,,,,21217,,23206,3000,7800,,,10106,44789,,15040,3080,45474
Piatt ,Illinois,,8218056,92488,26222864,,5314675,68493,17085706,1920,4996410,102961,29779877,8553,6140860,33039,16469352,11748,5435212,56271,17127782
Pickaway ,Ohio,,7400705,712240,19214444,2420,4572654,699195,10485660,1570,5058223,944112,16228301,2330,3765495,1403451,8660055,10484,4459100,1520899,13218811
Pike ,Illinois,,7414759,211783,29373448,27450,3619098,272955,13834019,4900,3104547,606429,25043208,11767,4473595,357108,18631717,29036,4706496,1130368,18029420
Saint Clair ,Illinois,,5293047,1070572,14637594,,3673314,1607006,5970350,,4020543,1740035,16601551,1440,4353600,1287758,9772839,10355,3930741,2349909,10371336
Mendocino ,California,,,,,,,,,,,,,,,,510,1700,,,265
Sanilac ,Michigan,73208,6508775,3913929,15332418,77624,5550238,4075304,15659567,120193,4360220,3497594,11970102,428846,5030902,2368640,10177774,379145,3726322,1852266,10520879
San Luis Obispo ,California,10918,,,,29928,,,34431,21721,,71989,,84956,,59942,,46915,,109702,
Douglas ,Minnesota,85380,3510498,562137,10870370,195740,2641907,589922,8870004,271174,1457206,626556,5058005,308608,2365964,589843,5934810,501014,1722737,770173,4356710
Douglas ,Wisconsin,16795,,,,13660,,,29900,34520,,,,11577,,,,26839,,,
Dubuque ,Iowa,102176,2183903,7297,31384228,219555,1362741,,16124314,235962,1354329,3740,23551191,499561,1855899,16943,17335039,684588,976640,2590,15537305
Dunn ,Wisconsin,117395,3014587,,14381107,199462,2032549,11304,14521079,279044,1337797,70177,9473813,374065,1695397,68285,10089277,441369,739483,16074,9485554
Eaton ,Michigan,33690,3841335,767818,8889906,15340,2975233,1147081,7537074,64826,2502882,928092,7644576,65236,2855383,829754,7550197,64755,2163935,1370229,7315173
Eau Claire ,Wisconsin,64234,1067070,25438,5722481,129044,709868,20698,5314141,164072,519132,9816,4734037,222115,778538,,4541160,307428,357561,6030,4566880
Elkhart ,Indiana,16068,2407805,172643,9738769,7220,2093989,108435,6396325,20672,2200035,115195,9017282,28228,2386864,116879,8590502,53994,1852646,197571,8733443
